usuario	titulo_filme	genero
75	THE CROW	action
75	THE CROW	crime
75	THE CROW	fantasy
75	THE CROW	thriller
78	ENEMY AT THE GATES	drama
78	ENEMY AT THE GATES	war
127	CAPE FEAR	thriller
127	CAPE FEAR	thriller
127	LADY AND THE TRAMP	animation
127	LADY AND THE TRAMP	children
127	LADY AND THE TRAMP	comedy
127	LADY AND THE TRAMP	musical
127	LADY AND THE TRAMP	romance
127	LADY AND THE TRAMP	animation
127	LADY AND THE TRAMP	children
127	LADY AND THE TRAMP	comedy
127	LADY AND THE TRAMP	musical
127	LADY AND THE TRAMP	romance
127	HOME ALONE 2: LOST IN NEW YORK	children
127	HOME ALONE 2: LOST IN NEW YORK	comedy
127	HOME ALONE 2: LOST IN NEW YORK	children
127	HOME ALONE 2: LOST IN NEW YORK	comedy
127	THE MUMMY RETURNS	action
127	THE MUMMY RETURNS	adventure
127	THE MUMMY RETURNS	horror
127	THE MUMMY RETURNS	thriller
127	THE MUMMY RETURNS	action
127	THE MUMMY RETURNS	adventure
127	THE MUMMY RETURNS	horror
127	THE MUMMY RETURNS	thriller
127	LEGALLY BLONDE	comedy
127	LEGALLY BLONDE	comedy
127	LEGALLY BLONDE	comedy
127	THE RING	drama
127	THE RING	horror
127	THE RING	mystery
127	THE RING	thriller
127	THE MATRIX REVOLUTIONS	action
127	THE MATRIX REVOLUTIONS	scifi
127	THE MATRIX REVOLUTIONS	thriller
127	THE MATRIX REVOLUTIONS	action
127	THE MATRIX REVOLUTIONS	scifi
127	THE MATRIX REVOLUTIONS	thriller
127	THE MATRIX REVOLUTIONS	action
127	THE MATRIX REVOLUTIONS	scifi
127	THE MATRIX REVOLUTIONS	thriller
127	BIG FISH	drama
127	BIG FISH	fantasy
127	BIG FISH	romance
127	BIG FISH	drama
127	BIG FISH	fantasy
127	BIG FISH	romance
127	BIG FISH	drama
127	BIG FISH	fantasy
127	BIG FISH	romance
127	BIG FISH	drama
127	BIG FISH	fantasy
127	BIG FISH	romance
127	BIG FISH	drama
127	BIG FISH	fantasy
127	BIG FISH	romance
127	FAHRENHEIT 9/11	documentary
127	FAHRENHEIT 9/11	documentary
127	FAHRENHEIT 9/11	documentary
170	THE QUIET	crime
170	THE QUIET	drama
170	THE QUIET	mystery
170	THE QUIET	thriller
175	THREE DAYS OF THE CONDOR	drama
175	THREE DAYS OF THE CONDOR	romance
175	THREE DAYS OF THE CONDOR	thriller
175	ZODIAC	crime
175	ZODIAC	drama
175	ZODIAC	thriller
190	KÔKAKU KIDÔTAI	animation
190	KÔKAKU KIDÔTAI	scifi
190	AKIRA	action
190	AKIRA	adventure
190	AKIRA	animation
190	AKIRA	scifi
190	THE LORD OF THE RINGS: THE RETURN OF THE KING	adventure
190	THE LORD OF THE RINGS: THE RETURN OF THE KING	animation
190	THE LORD OF THE RINGS: THE RETURN OF THE KING	children
190	THE LORD OF THE RINGS: THE RETURN OF THE KING	fantasy
190	PERFECT BLUE	animation
190	PERFECT BLUE	mystery
190	PERFECT BLUE	thriller
190	MONONOKE HIME	action
190	MONONOKE HIME	adventure
190	MONONOKE HIME	animation
190	MONONOKE HIME	drama
190	MONONOKE HIME	fantasy
190	DUNGEONS and DRAGONS	adventure
190	DUNGEONS and DRAGONS	fantasy
190	THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING	action
190	THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING	adventure
190	THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING	fantasy
190	DRAGONSLAYER	action
190	DRAGONSLAYER	adventure
190	DRAGONSLAYER	fantasy
